Frame,X,Y,Time
5820,510,212,00:03:14.193999999999988
5832,652,310,00:03:14.594400000000007
5843,510,212,00:03:14.96143333333336
5865,510,212,00:03:15.69550000000001
5875,806,212,00:03:16.02916666666667
5885,510,212,00:03:16.362833333333356
5895,510,212,00:03:16.696499999999986
5911,510,212,00:03:17.23036666666667
5928,504,240,00:03:17.797600000000017
5953,510,212,00:03:18.631766666666664
5966,474,294,00:03:19.06553333333332
5976,510,212,00:03:19.399200000000008
5993,456,286,00:03:19.966433333333356
6004,510,212,00:03:20.33346666666668
6014,594,280,00:03:20.66713333333334
6028,658,246,00:03:21.13426666666666
6040,510,212,00:03:21.534666666666652
6050,756,246,00:03:21.86833333333334
6063,510,212,00:03:22.302099999999996
6074,498,216,00:03:22.66913333333332
6084,510,212,00:03:23.002800000000008
6094,510,212,00:03:23.336466666666666
6105,510,212,00:03:23.70349999999999
6123,792,134,00:03:24.304100000000005
6147,510,212,00:03:25.104899999999986
6165,510,212,00:03:25.7055
6175,862,290,00:03:26.03916666666666
6185,748,282,00:03:26.372833333333347
6196,510,212,00:03:26.73986666666667
6206,510,214,00:03:27.07353333333333
6216,540,184,00:03:27.407200000000017
6232,806,212,00:03:27.94106666666667
6244,880,170,00:03:28.341466666666662
6254,806,212,00:03:28.67513333333332
6266,806,212,00:03:29.07553333333334
6278,778,184,00:03:29.47593333333336
6288,524,186,00:03:29.809600000000017
6298,806,212,00:03:30.143266666666676
6308,806,212,00:03:30.476933333333335
6318,542,182,00:03:30.810599999999994
6328,510,214,00:03:31.144266666666653
6345,510,214,00:03:31.7115
6356,510,212,00:03:32.078533333333326
6368,510,212,00:03:32.478933333333345
6385,510,212,00:03:33.046166666666664
6402,510,214,00:03:33.613399999999984
6420,806,212,00:03:34.214
6430,602,292,00:03:34.54766666666666
6440,806,212,00:03:34.881333333333345
6457,806,212,00:03:35.44856666666669
6473,806,212,00:03:35.98243333333335
6500,510,212,00:03:36.883333333333354
6535,806,212,00:03:38.05116666666666
6545,806,212,00:03:38.38483333333335
6555,666,220,00:03:38.718500000000006
6568,508,212,00:03:39.15226666666666
6578,508,212,00:03:39.48593333333335
6589,508,212,00:03:39.852966666666674
6599,508,212,00:03:40.18663333333333
6614,508,212,00:03:40.68713333333332
6634,508,212,00:03:41.35446666666667
6645,508,212,00:03:41.72149999999999
6674,508,210,00:03:42.68913333333333
6684,806,212,00:03:43.02280000000002
6694,806,212,00:03:43.35646666666668
6704,806,212,00:03:43.690133333333335
6714,508,212,00:03:44.02380000000002
6724,786,172,00:03:44.35746666666668
6734,806,210,00:03:44.69113333333334
6744,508,212,00:03:45.02480000000003
6755,806,212,00:03:45.39183333333335
6768,806,212,00:03:45.82560000000001
6790,806,212,00:03:46.55966666666666
6801,806,212,00:03:46.92670000000001
6811,806,212,00:03:47.26036666666667
6823,806,212,00:03:47.66076666666666
6834,806,212,00:03:48.02780000000001
6847,806,212,00:03:48.46156666666667
6862,588,162,00:03:48.962066666666686
6891,698,300,00:03:49.929700000000025
6901,766,304,00:03:50.263366666666656
6913,806,212,00:03:50.663766666666675
6923,806,212,00:03:50.99743333333336
6933,858,354,00:03:51.33109999999999
6945,806,212,00:03:51.73150000000001
6955,524,184,00:03:52.06516666666667
6967,570,216,00:03:52.46556666666669
6977,806,212,00:03:52.79923333333335
6987,508,212,00:03:53.13290000000001
7015,806,212,00:03:54.06716666666665
7028,806,212,00:03:54.500933333333336
7038,508,212,00:03:54.834599999999995
7048,522,184,00:03:55.16826666666665
7058,806,212,00:03:55.50193333333334
7068,836,298,00:03:55.8356
7096,806,212,00:03:56.76986666666667
7133,806,212,00:03:58.00443333333334
7168,806,212,00:03:59.17226666666667
7180,806,212,00:03:59.57266666666666
7191,806,212,00:03:59.939700000000016
7207,806,212,00:04:00.47356666666667024
7227,510,212,00:04:01.1408999999999878
7237,510,212,00:04:01.474566666666675
7252,806,212,00:04:01.9750666666666916
7262,484,310,00:04:02.3087333333333504
7276,510,212,00:04:02.7758666666666727
7286,806,212,00:04:03.1095333333333315
7296,510,212,00:04:03.4432000000000187
7307,506,166,00:04:03.8102333333333434
7323,724,312,00:04:04.344099999999997
7336,806,212,00:04:04.777866666666682
7365,510,212,00:04:05.745499999999993
7396,510,212,00:04:06.779866666666663
7412,830,168,00:04:07.313733333333346
7424,510,212,00:04:07.714133333333336
7438,510,212,00:04:08.181266666666659
7452,510,212,00:04:08.648399999999981
7463,742,292,00:04:09.015433333333362
7474,740,238,00:04:09.382466666666687
7486,510,212,00:04:09.782866666666678
7503,740,270,00:04:10.350099999999998
7513,760,230,00:04:10.683766666666656
7523,740,250,00:04:11.017433333333344
7546,510,212,00:04:11.784866666666659
7556,598,324,00:04:12.118533333333318
7566,510,212,00:04:12.452200000000005
7576,510,212,00:04:12.785866666666664
7587,812,162,00:04:13.152899999999988
7597,868,290,00:04:13.486566666666675
7611,510,212,00:04:13.953699999999998
7626,828,290,00:04:14.454200000000014
7636,864,226,00:04:14.787866666666673
7646,890,270,00:04:15.121533333333332
7660,510,212,00:04:15.588666666666654
7673,510,212,00:04:16.022433333333368
7683,510,212,00:04:16.356100000000026
7693,510,212,00:04:16.689766666666685
7703,860,148,00:04:17.023433333333344
7739,510,212,00:04:18.224633333333315
7758,510,212,00:04:18.858600000000024
7774,510,212,00:04:19.392466666666678
7786,510,212,00:04:19.79286666666667
7797,510,212,00:04:20.159899999999993
7809,510,212,00:04:20.56030000000004
7820,656,166,00:04:20.927333333333365
7832,606,184,00:04:21.327733333333356
7850,784,180,00:04:21.92833333333334
7862,788,240,00:04:22.328733333333332
7881,836,282,00:04:22.962699999999984
7892,844,316,00:04:23.329733333333365
7912,746,278,00:04:23.997066666666626
7959,510,212,00:04:25.56529999999998
7970,664,288,00:04:25.932333333333304
7982,508,274,00:04:26.33273333333335
7992,484,320,00:04:26.66640000000001
8002,470,216,00:04:27.00006666666667
8017,470,200,00:04:27.500566666666657
8027,510,212,00:04:27.834233333333316
8039,484,308,00:04:28.234633333333363
8050,510,212,00:04:28.601666666666688
8083,508,212,00:04:29.702766666666662
8095,508,212,00:04:30.10316666666671
8152,510,212,00:04:32.005066666666664
8163,510,212,00:04:32.37209999999999
8174,510,212,00:04:32.73913333333337
8189,510,212,00:04:33.23963333333336
8199,776,172,00:04:33.57329999999996
8233,612,256,00:04:34.70776666666666
8245,782,182,00:04:35.108166666666705
8262,490,288,00:04:35.675400000000025
8272,510,212,00:04:36.00906666666663
8283,568,180,00:04:36.37609999999995
8320,798,156,00:04:37.6106666666667
8337,854,292,00:04:38.17790000000002
8364,600,210,00:04:39.0788
8378,532,250,00:04:39.54593333333332
8401,662,290,00:04:40.313366666666695
8411,510,212,00:04:40.6470333333333
8421,526,208,00:04:40.98070000000001
8433,500,288,00:04:41.3811
8443,516,288,00:04:41.71476666666666
8457,554,292,00:04:42.18190000000004
8472,624,282,00:04:42.68240000000003
8493,766,138,00:04:43.383099999999956
8535,744,230,00:04:44.78449999999998
8553,572,140,00:04:45.385099999999966
8563,536,274,00:04:45.71876666666668
8597,510,212,00:04:46.85323333333332
8636,502,148,00:04:48.15453333333335
8723,510,212,00:04:51.057433333333336
8759,774,220,00:04:52.258633333333364
8770,510,212,00:04:52.62566666666669
8783,510,212,00:04:53.059433333333345
8801,510,212,00:04:53.66003333333333
8812,510,212,00:04:54.027066666666656
8822,594,306,00:04:54.360733333333314
8832,510,212,00:04:54.69440000000003
8842,808,212,00:04:55.02806666666663
8852,726,130,00:04:55.36173333333335
8862,722,134,00:04:55.69540000000001
8878,510,210,00:04:56.22926666666666
8888,510,212,00:04:56.562933333333376
8905,510,212,00:04:57.130166666666696
8917,812,318,00:04:57.53056666666663
8927,510,212,00:04:57.864233333333345
8938,772,308,00:04:58.23126666666667
8980,510,212,00:04:59.632666666666694
8994,510,212,00:05:00.0998000000000161
9004,810,310,00:05:00.4334666666666749
9015,844,224,00:05:00.8004999999999995
9033,510,212,00:05:01.4010999999999854
9052,670,280,00:05:02.035066666666637
9062,564,256,00:05:02.3687333333333527
9072,520,284,00:05:02.7024000000000115
9094,470,356,00:05:03.436466666666661
9104,510,212,00:05:03.7701333333333764
9116,510,212,00:05:04.17053333333331
9128,510,212,00:05:04.5709333333333575
9149,782,222,00:05:05.271633333333341
9159,794,302,00:05:05.6053
9179,510,212,00:05:06.272633333333374
9196,786,140,00:05:06.839866666666694
9208,812,202,00:05:07.240266666666685
9218,888,156,00:05:07.573933333333343
9233,836,152,00:05:08.074433333333332
9252,790,148,00:05:08.70840000000004
9263,784,174,00:05:09.075433333333365
9273,742,150,00:05:09.409099999999967
9287,764,156,00:05:09.876233333333346
9297,812,202,00:05:10.209900000000005
9307,788,172,00:05:10.543566666666663
9317,582,232,00:05:10.877233333333322
9327,812,202,00:05:11.210900000000038
9337,812,202,00:05:11.54456666666664
9347,812,202,00:05:11.878233333333355
9358,812,202,00:05:12.24526666666668
9368,812,202,00:05:12.578933333333339
9378,700,274,00:05:12.912599999999998
9388,814,202,00:05:13.246266666666656
9402,720,282,00:05:13.713400000000036
9412,812,202,00:05:14.047066666666638
9422,838,354,00:05:14.380733333333353
9432,814,202,00:05:14.714400000000012
9444,812,202,00:05:15.114800000000002
9455,812,202,00:05:15.481833333333327
9467,562,258,00:05:15.882233333333318
9483,812,202,00:05:16.41609999999997
9493,752,312,00:05:16.749766666666687
9503,672,286,00:05:17.083433333333346
9516,814,202,00:05:17.517200000000003
9528,812,202,00:05:17.917599999999993
9540,812,202,00:05:18.317999999999984
9563,814,202,00:05:19.085433333333356
9578,814,202,00:05:19.585933333333344
9588,622,274,00:05:19.919600000000003
9601,604,292,00:05:20.353366666666716
9611,452,336,00:05:20.687033333333318
9624,510,300,00:05:21.120799999999974
9636,814,202,00:05:21.52120000000002
9650,814,202,00:05:21.988333333333287
9660,500,282,00:05:22.322000000000003
9673,824,154,00:05:22.75576666666666
