Set,Rally,Frame,X,Y,Time,Getpoint_player,Lose_reason
2,20,7732,892,158,00:04:17.991066666666654,,
2,20,7747,886,158,00:04:18.4915666666667,,
2,20,7757,798,256,00:04:18.825233333333358,,
2,20,7770,800,254,00:04:19.259000000000015,,
2,20,7788,710,296,00:04:19.8596,,
2,20,7804,888,172,00:04:20.393466666666654,,
2,20,7814,720,226,00:04:20.727133333333313,,
2,20,7826,634,160,00:04:21.127533333333304,B,0
2,21,7839,888,162,00:04:21.561300000000017,,
2,21,7852,758,294,00:04:21.995066666666673,,
2,21,7869,810,256,00:04:22.562299999999993,,
2,21,7891,848,306,00:04:23.2963666666667,,
2,21,7907,764,218,00:04:23.830233333333354,,
2,21,7946,618,142,00:04:25.131533333333323,,
2,21,7967,888,162,00:04:25.832233333333363,,
2,21,7986,494,286,00:04:26.466200000000015,,
2,21,7997,474,258,00:04:26.83323333333334,,
2,21,8020,474,234,00:04:27.60066666666671,,
2,21,8030,888,166,00:04:27.934333333333313,,
2,21,8040,884,162,00:04:28.267999999999972,B,0
3,1,8050,798,254,00:04:28.601666666666688,,
3,1,8067,798,256,00:04:29.168900000000008,,
3,1,8084,798,256,00:04:29.736133333333385,,
3,1,8098,798,256,00:04:30.20326666666665,,
3,1,8110,800,256,00:04:30.603666666666697,,
3,1,8120,800,256,00:04:30.9373333333333,,
3,1,8132,560,428,00:04:31.337733333333347,,
3,1,8154,800,254,00:04:32.071799999999996,,
3,1,8174,798,254,00:04:32.73913333333337,,
3,1,8204,812,282,00:04:33.74013333333335,A,0
3,2,8225,674,276,00:04:34.44083333333333,,
3,2,8235,596,258,00:04:34.77449999999999,,
3,2,8245,562,314,00:04:35.108166666666705,,
3,2,8257,606,470,00:04:35.50856666666664,,
3,2,8267,474,312,00:04:35.842233333333354,,
3,2,8282,552,218,00:04:36.34273333333334,,
3,2,8328,826,210,00:04:37.87759999999997,,
3,2,8339,860,306,00:04:38.244633333333354,,
3,2,8355,692,268,00:04:38.77850000000001,,
3,2,8378,534,252,00:04:39.54593333333332,A,0
3,3,8403,688,456,00:04:40.38009999999997,,
3,3,8413,798,254,00:04:40.713766666666686,,
3,3,8425,800,254,00:04:41.11416666666668,,
3,3,8441,800,254,00:04:41.64803333333333,,
3,3,8453,544,274,00:04:42.04843333333332,,
3,3,8487,798,254,00:04:43.18290000000002,,
3,3,8500,798,254,00:04:43.616666666666674,,
3,3,8519,798,254,00:04:44.25063333333338,,
3,3,8532,762,150,00:04:44.68440000000004,,
3,3,8559,550,218,00:04:45.58529999999996,A,0
3,4,8635,800,254,00:04:48.12116666666668,,
3,4,8652,620,448,00:04:48.6884,,
3,4,8681,624,438,00:04:49.65603333333331,,
3,4,8697,902,312,00:04:50.18990000000002,,
3,4,8726,622,444,00:04:51.15753333333333,,
3,4,8738,658,438,00:04:51.557933333333324,,
3,4,8779,684,458,00:04:52.92596666666668,,
3,4,8801,672,294,00:04:53.66003333333333,,
3,4,8818,546,292,00:04:54.22726666666665,,
3,4,8831,506,290,00:04:54.66103333333331,,
3,4,8841,798,256,00:04:54.99470000000002,,
3,4,8851,798,258,00:04:55.32836666666668,,
3,4,8861,492,308,00:04:55.66203333333334,,
3,4,8873,902,316,00:04:56.06243333333333,,
3,4,8884,654,270,00:04:56.429466666666656,,
3,4,8895,758,316,00:04:56.79649999999998,B,1
3,5,8907,802,254,00:04:57.19690000000003,,
3,5,8936,776,312,00:04:58.16453333333334,,
3,5,8963,798,254,00:04:59.065433333333374,,
3,5,8976,798,254,00:04:59.49920000000003,,
3,5,8987,774,286,00:04:59.866233333333355,,
3,5,9005,812,310,00:05:00.46683333333334076,,
3,5,9015,848,224,00:05:00.8004999999999995,,
3,5,9039,898,298,00:05:01.6012999999999806,,
3,5,9053,798,254,00:05:02.0684333333333598,A,0
3,6,9066,798,254,00:05:02.502200000000016,,
3,6,9079,798,254,00:05:02.9359666666666726,,
3,6,9089,480,298,00:05:03.2696333333333882,,
3,6,9108,798,254,00:05:03.903599999999983,,
3,6,9138,626,442,00:05:04.904599999999959,,
3,6,9148,664,444,00:05:05.238266666666675,,
3,6,9159,794,304,00:05:05.6053,,
3,6,9170,898,304,00:05:05.972333333333324,,
3,6,9186,800,252,00:05:06.506200000000035,,
3,6,9205,814,204,00:05:07.140166666666687,,
3,6,9217,814,204,00:05:07.5405666666666775,A,0
3,7,9229,814,204,00:05:07.940966666666668,,
3,7,9248,810,204,00:05:08.574933333333377,,
3,7,9283,814,204,00:05:09.742766666666682,,
3,7,9294,562,254,00:05:10.109800000000007,,
3,7,9309,814,204,00:05:10.610299999999995,,
3,7,9320,676,428,00:05:10.97733333333332,,
