hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,x_direct,x_distance,y_direct,y_distance,velocity,type
2,1,2,2,3,1,3,1,2,3,21.014,lob
3,3,1,3,2,2,3,2,3,4,42.233,cut
2,2,2,2,3,1,3,2,3,3,26.702,lob
3,3,1,3,4,1,3,2,3,3,30.877,long
2,4,1,2,2,2,3,5,3,3,37.795,cut
3,2,2,2,4,1,3,3,3,2,26.923,lob
3,4,1,3,2,2,2,3,2,3,69.809,smash
2,2,2,2,2,2,2,2,2,3,26.716,netplay
3,2,2,3,2,1,2,2,2,3,29.156,lob
2,2,1,3,4,1,2,2,2,3,30.279,long
2,4,1,2,4,1,2,2,3,3,23.766,long
3,4,1,2,2,0,3,5,2,5,50.643,cut
3,2,2,3,4,1,3,2,2,3,15.898,long
2,4,1,3,2,2,3,4,3,3,71.9,smash
2,2,2,2,2,1,3,3,2,3,24.985,netplay
3,2,1,3,2,2,2,2,2,3,36.103,rush
2,2,2,2,2,1,2,2,2,3,45.628,netplay
3,2,1,3,1,0,2,2,2,3,23.71,netplay
3,2,2,2,4,1,2,3,3,2,15.956,long
3,4,1,3,2,2,2,5,2,3,58.583,smash
2,2,2,2,2,2,2,3,2,2,27.977,netplay
3,2,2,3,3,1,2,2,2,3,27.21,lob
2,3,1,2,2,2,2,2,2,4,35.143,cut
3,2,2,2,1,2,2,2,2,3,17.299,netplay
3,1,2,3,4,1,3,2,3,1,16.919,lob
2,4,1,3,3,2,3,2,3,3,93.725,smash
2,3,2,2,1,2,3,3,2,3,16.585,netplay
3,1,2,3,1,2,2,2,2,3,5.374,netplay
2,1,2,3,3,1,2,2,2,2,22.569,lob
2,3,1,0,4,0,2,2,3,3,23.307,long
3,2,2,3,4,1,3,2,2,2,16.183,long
2,4,1,2,2,2,3,4,3,3,72.824,smash
3,2,2,2,2,2,3,3,3,3,22.707,netplay
3,2,2,3,3,1,2,2,2,3,28.459,lob
2,3,1,2,2,2,2,2,2,4,86.568,cut
3,2,2,2,2,2,2,2,2,3,22.519,netplay
