frame,top_x,top_y,bot_x,bot_y
8519,204,178,308,903
8520,207,178,308,899
8521,205,164,308,895
8522,205,158,309,903
8523,205,178,306,899
8524,191,158,306,899
8525,205,191,311,899
8526,198,145,312,895
8527,199,138,311,899
8528,204,203,311,899
8529,202,178,309,899
8530,202,178,310,899
8531,204,171,309,899
8532,206,191,309,899
8533,204,184,310,899
8534,202,178,309,924
8535,202,191,309,924
8536,201,191,310,916
8537,204,203,309,920
8538,203,191,311,912
8539,202,197,311,916
8540,200,164,311,912
8541,202,178,311,912
8542,204,184,311,912
8543,199,171,310,940
8544,205,178,310,916
8545,203,184,310,916
8546,203,197,309,907
8547,204,178,309,920
8548,203,191,309,895
8549,203,184,311,907
8550,204,171,311,907
8551,203,171,310,907
8552,200,197,311,912
8553,203,164,310,907
8554,205,164,310,907
8555,199,151,310,907
8556,200,145,310,903
8557,203,164,310,907
8558,197,145,310,903
8559,203,197,310,907
8560,204,171,310,907
8561,200,171,309,895
8562,203,178,309,899
8563,196,164,309,899
8564,205,191,309,899
8565,202,171,309,903
8566,202,158,309,903
8567,202,145,309,899
8568,201,164,311,912
8569,204,203,310,907
8570,202,197,310,912
8571,197,171,309,907
8572,202,184,310,907
8573,201,145,310,903
8574,203,171,310,903
8575,199,164,310,903
8576,203,171,307,912
8577,205,171,305,895
8578,202,158,306,899
8579,203,164,306,895
8580,202,178,307,912
8581,204,178,307,907
8582,203,164,307,912
8583,205,158,307,907
8584,200,164,310,916
8585,203,178,311,903
8586,199,164,311,903
8587,202,197,307,907
8588,199,178,307,882
8589,198,191,315,916
8590,205,191,314,907
8591,201,164,314,916
8592,202,178,312,907
8593,203,191,310,907
8594,192,151,308,912
8595,199,164,308,907
8596,199,151,314,907
8597,203,210,306,874
8598,203,164,305,891
8599,203,178,302,928
8600,201,184,308,912
8601,198,178,308,912
8602,201,197,308,899
8603,202,178,307,903
8604,197,145,307,907
8605,196,145,313,903
8606,197,151,307,895
8607,200,151,306,899
8608,197,151,307,895
8609,195,158,309,895
8610,195,151,311,899
8611,192,91,309,907
8612,194,131,307,924
8613,195,97,307,899
8614,194,84,307,924
8615,206,97,307,920
8616,198,56,307,920
8617,199,49,308,924
8618,200,63,309,924
8619,201,49,309,912
8620,212,91,309,912
8621,208,42,301,912
8622,212,35,300,912
8623,204,21,299,952
8624,205,49,294,928
8625,202,-14,284,932
8626,203,21,279,940
8627,204,21,272,940
8628,204,21,258,924
8629,199,0,252,932
8630,203,-14,248,948
8631,198,-36,248,965
8632,172,-126,250,996
8633,175,-149,247,980
8634,184,-88,248,988
8635,171,-118,245,1012
8636,165,-110,245,980
8637,165,-58,245,988
8638,162,-118,245,992
8639,161,-118,247,996
8640,178,-65,243,980
8641,162,-118,242,980
8642,170,-73,242,1004
8643,165,-118,238,972
8644,163,-126,237,969
8645,165,-133,237,965
8646,154,-88,237,965
8647,160,-103,236,956
8648,145,-149,235,956
8649,160,-141,227,961
8650,160,-110,224,961
8651,163,-118,232,956
8652,165,-157,228,961
8653,159,-157,228,969
8654,155,-172,229,988
8655,166,-157,231,965
8656,164,-141,227,992
8657,164,-133,230,932
8658,155,-103,225,928
8659,141,-141,224,940
8660,154,-126,225,940
8661,154,-58,223,936
8662,154,-50,223,976
8663,146,-43,219,965
8664,152,-65,227,940
8665,152,-73,228,940
8666,152,-58,229,965
8667,160,-50,224,965
8668,149,-141,226,956
8669,149,-141,229,961
8670,173,-88,229,988
8671,181,-43,223,976
8672,194,-43,218,1000
8673,208,49,214,988
8674,222,-14,206,1008
8675,212,0,197,996
8676,229,7,200,1004
8677,229,14,197,1031
8678,224,56,189,1023
8679,224,28,193,1027
8680,227,28,191,1023
8681,228,35,190,1008
8682,218,35,186,1023
8683,228,70,183,1019
8684,233,84,156,1119
8685,235,42,155,1137
8686,242,-7,153,1141
8687,243,28,158,1137
8688,253,-141,136,1039
8689,263,77,131,1027
8690,270,49,117,1027
8691,283,70,112,1031
8692,291,49,104,1061
8693,312,84,98,1065
8694,316,125,96,1102
8695,319,118,180,1116
8696,320,138,105,1196
8697,321,171,110,1236
8698,323,184,113,1259
8699,324,158,113,1259
8700,325,151,113,1259
8701,335,145,113,1259
8702,324,138,113,1259
8703,323,-50,113,1242
8704,339,145,121,1226
8705,334,125,137,1226
8706,337,97,155,1193
8707,329,111,167,1176
8708,338,70,180,1172
8709,341,91,194,1193
8710,337,104,199,1186
8711,349,131,204,1210
8712,333,84,202,1179
8713,348,111,202,1176
8714,348,111,202,1176
8715,356,49,205,1165
8716,376,84,212,1155
8717,389,70,223,1148
8718,399,21,231,1144
8719,404,-43,235,1130
8720,405,-164,243,1102
8721,425,-110,247,1076
8722,430,-126,249,1069
8723,435,-118,257,1069
8724,432,-172,254,1031
8725,430,-118,248,1031
8726,431,-141,251,1016
8727,430,-141,250,1008
8728,432,-141,252,1035
8729,430,-118,253,1023
8730,413,-58,257,988
8731,423,-65,266,956
8732,433,-126,281,972
8733,419,-73,285,976
8734,438,-73,287,961
8735,424,-180,282,992
8736,422,-126,284,972
8737,413,-180,291,969
8738,416,-126,293,976
8739,417,-157,298,996
8740,403,-103,305,1012
8741,400,-36,321,1027
8742,382,-28,333,1023
8743,392,-28,338,1057
8744,379,-7,337,1076
8745,370,0,343,1109
8746,366,0,339,1134
8747,364,104,335,1137
8748,363,42,336,1130
8749,363,49,350,1123
8750,368,56,353,1102
8751,364,28,359,1123
8752,370,35,363,1123
8753,381,70,371,1134
8754,378,49,379,1148
8755,381,84,383,1134
8756,370,70,380,1134
8757,371,49,381,1144
8758,374,70,380,1134
8759,367,84,376,1112
8760,371,91,373,1123
8761,370,63,367,1127
8762,358,7,359,1130
8763,368,91,349,1127
8764,366,63,343,1102
8765,350,21,340,1102
8766,350,84,328,1116
8767,328,97,325,1112
8768,320,171,323,1123
8769,328,242,321,1105
8770,328,242,326,1127
8771,321,235,322,1123
8772,322,242,325,1112
8773,324,178,321,1105
8774,316,184,323,1112
8775,313,151,321,1072
8776,296,171,314,1023
8777,297,229,305,1035
8778,284,216,299,1012
8779,274,216,293,1065
8780,279,242,279,1042
8781,264,267,284,1069
8782,260,273,278,1057
8783,249,260,265,1012
8784,233,291,259,1016
8785,226,267,252,1004
8786,213,285,249,1027
8787,211,291,245,1027
8788,209,297,246,1042
8789,207,285,277,992
8790,211,297,248,1039
8791,208,304,246,1046
